WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Wdr5b	36	98	31	244	171	185
Parp9	187	460	211	1099	1250	1220
Dtx3l	179	305	144	944	919	1171
Ccdc58	64	174	81	416	539	268
2010005H15Rik	0	1	0	3	2	0
Gm6815	0	0	1	1	0	0
Casr	0	0	0	6	1	3
Cd86	318	1520	530	1286	3225	3040
Slc15a2	27	135	53	96	328	126
4930565N06Rik	1	3	1	11	3	18
Golgb1	212	312	170	1306	683	813
Fbxo40	2	0	3	19	11	14
Rabl3	55	95	42	193	216	205
Gtf2e1	158	260	138	490	581	628
Ndufb4	31	61	33	89	95	69
Fstl1	1	1	0	15	1	1
Gpr156	0	1	0	9	1	2
BC031361	2	1	2	9	6	5
Popdc2	4	2	3	16	17	12
Maats1	0	0	0	5	2	6
Cox17	369	546	342	1161	1657	900
Timmdc1	147	167	104	378	492	355
Cd80	9	28	12	159	174	195
Adprh	1075	1182	1149	2028	3430	2594
Tmem39a	109	96	60	435	359	357
B4galt4	1	13	4	3	2	66
Gm19522	0	0	0	0	1	0
Gm15713	0	0	0	1	0	0
Mir568	2	4	0	4	7	1
Tigit	3	2	3	72	12	29
Qtrtd1	38	62	26	283	176	213
Zdhhc23	10	6	1	22	6	16
Gramd1c	6	18	10	60	39	50
Naa50	439	1008	340	2213	2063	2984
Atp6v1a	276	494	179	1346	1337	1603
Usf3	279	412	165	1453	1143	1514
Spice1	53	97	57	186	116	115
Boc	0	0	0	0	0	1
Gtpbp8	12	55	18	84	132	139
Cd200r1	3	20	6	2	14	66
Nepro	49	115	50	232	258	256
Ccdc80	0	0	0	2	0	0
Slc35a5	47	116	37	151	203	305
Atg3	277	499	233	1116	1136	864
Btla	433	1833	528	3583	3461	3274
Cd200	50	132	64	314	327	341
Tmprss7	1	0	0	0	0	1
Tagln3	0	0	0	0	2	1
Abhd10	71	123	51	212	291	266
Phldb2	11	0	0	1	1	1
Cd96	1	0	1	0	1	1
Gm4737	6	4	1	8	10	7
Retnlg	0	0	0	2	2	1
Retnla	0	0	9	0	0	8
Dzip3	63	217	72	411	370	433
C330027C09Rik	178	1110	287	1791	1436	1398
Ift57	27	31	19	103	134	102
Cd47	325	676	359	1738	2276	1945
G730013B05Rik	0	0	0	3	1	6
Dubr	23	34	13	89	100	103
Nxpe3	252	274	117	1023	1159	1141
Cep97	42	77	35	274	219	190
Trmt10c	72	192	77	463	548	337
Zbtb11	92	217	73	523	562	535
Zbtb11os1	12	6	12	24	26	34
Pcnp	114	327	89	360	441	520
Tfg	171	252	91	790	623	770
Tbc1d23	57	131	38	333	280	360
Nit2	84	127	66	294	251	192
St3gal6	51	240	67	432	509	432
E330017A01Rik	0	0	0	0	1	0
Cpox	192	147	83	530	510	711
Gpr15	10	20	8	24	67	68
Cldnd1	200	377	169	772	1101	1059
Riox2	161	238	159	620	715	570
Arl13b	11	31	10	128	61	75
Zfp654	30	99	35	191	213	274
Cggbp1	467	1128	441	1755	2311	2889
4930453N24Rik	87	226	93	430	521	381
Chmp2b	135	231	100	453	663	822
Rbm11	0	0	0	1	5	0
Nrip1	53	75	37	484	282	308
Btg3	0	0	0	0	1	5
Cxadr	8	1	0	4	5	8
E330011O21Rik	0	0	0	0	1	0
4930478L05Rik	0	0	0	0	0	4
D16Ertd472e	95	175	62	372	384	422
Mrpl39	197	396	197	666	903	680
Mir155hg	1	4	3	32	22	19
Atp5j	590	1250	585	2664	3237	2071
Gabpa	281	623	256	1623	1505	1587
Gm10791	0	0	0	1	0	0
Adamts1	1	0	0	0	0	0
Adamts5	0	0	0	2	1	0
N6amt1	35	90	38	175	220	183
Rwdd2b	100	134	93	267	392	286
Usp16	105	408	160	844	831	587
Cct8	1312	2527	1059	6037	6730	5145
B130034C11Rik	4	8	5	21	17	19
Bach1	35	30	13	115	126	175
Gm10789	1	0	0	0	0	0
Sod1	1258	1963	1133	3064	4350	2970
Scaf4	361	288	216	1209	870	1132
Urb1	164	166	92	560	408	534
Mis18a	198	269	143	737	770	639
Mrap	0	7	6	0	2	30
1110004E09Rik	76	74	49	304	278	219
Paxbp1	107	170	81	734	427	514
4930404I05Rik	2	2	1	17	5	3
Ifnar2	43	77	92	435	239	580
Il10rb	77	170	139	447	377	718
A930006K02Rik	1	2	1	10	1	14
Dnajc28	2	5	0	21	6	6
Ifngr2	103	182	123	457	588	518
Tmem50b	238	238	154	711	695	692
Donson	158	180	105	517	463	539
Son	1211	1892	919	7178	4781	6518
Cryzl1	70	221	111	367	401	416
Gart	1012	1060	876	2947	3271	3187
Gm10785	7	10	2	14	33	37
Atp5o	1156	1962	1324	3232	4705	2853
Mrps6	78	77	57	123	204	146
Slc5a3	4	6	2	18	13	23
Kcne1	2	0	0	1	0	0
Smim11	101	151	93	273	413	307
1700048M11Rik	0	0	0	4	3	1
Cbr1	30	30	40	112	62	68
Cbr3	1	2	3	0	4	10
Chaf1b	410	573	457	1090	1329	1049
Pigp	65	130	58	272	288	294
Ripply3	0	0	1	9	0	7
Ets2	168	103	73	317	408	602
Psmg1	128	155	132	446	403	352
Wrb	78	101	62	144	228	198
Hmgn1	1773	2930	1325	5444	7315	5656
Lca5l	0	1	0	0	1	0
B3galt5	0	0	1	0	0	2
Igsf5	3	0	0	0	0	2
Mx1	5	7	1	61	10	46
Fam3b	0	2	0	0	0	0
Mx2	1	2	1	14	7	10
Tmprss2	1	0	0	0	0	0
Ripk4	4	0	1	5	6	7
Prdm15	70	88	50	279	190	289
B230307C23Rik	39	60	31	121	169	110
Zbtb21	65	56	48	251	275	278
A630089N07Rik	6	36	14	92	72	42
Ptprm	6	30	46	11	11	264
Gm16702	0	0	0	5	2	0
Ccdc154	0	1	0	0	1	0
Rasgrp3	955	1770	854	5691	5209	5183
Arid1b	459	458	240	1194	1060	1358
Scaf8	318	443	221	1364	1078	1321
Tmem181a	11	16	13	67	53	50
Park2	0	0	0	0	0	1
Chd1	105	188	134	929	518	588
Pdpk1	388	515	212	1689	1457	1803
Pde9a	1	0	0	4	0	0
Fam234a	19	43	46	40	35	233
Btbd9	131	130	77	373	407	502
Rn45s	8633	25161	10613	29683	30622	35641
Rnf5	133	134	78	415	363	382
Supt3	47	65	58	125	149	137
Rsph9	2	1	1	0	3	2
Trem1	0	2	0	2	1	0
Trerf1	183	183	111	582	432	594
Lonp1	489	331	230	1277	1319	1167
Fer	16	39	7	98	48	35
Ankrd12	72	211	105	803	429	425
Epb41l3	9	54	39	10	16	332
Emilin2	6	4	3	39	15	18
Nlrc4	72	158	63	408	415	325
Dlgap1	0	1	0	3	0	4
Nrxn1	0	0	0	1	1	0
Cript	129	555	159	518	880	766
1110020A21Rik	4	6	1	9	24	7
Tiam2	9	7	4	22	30	35
Tfb1m	105	192	91	283	350	327
Synj2	97	71	55	137	355	371
Tulp4	42	54	15	165	134	202
Snx9	227	315	173	969	965	937
Zdhhc14	13	5	6	73	35	70
Rps6ka2	13	1	5	26	2	2
Rsph3b	23	18	12	38	64	34
Sytl3	7	11	2	21	110	56
Pde10a	0	1	1	0	4	7
Qk	291	427	196	1437	1295	2163
4732491K20Rik	3	1	1	12	12	2
Agpat4	85	62	47	237	357	234
Airn	0	0	0	3	1	4
Mas1	0	0	0	1	0	0
Igf2r	347	263	220	860	785	1250
Wtap	337	913	340	1527	1763	1371
2700054A10Rik	0	0	0	0	0	1
Afdn	7	11	13	54	40	79
Smoc2	0	0	0	0	0	1
Lnpep	212	619	243	1974	1771	2233
Lix1	0	0	0	0	0	1
Gm6712	8	70	25	46	97	55
Zfp995	7	42	6	42	56	38
Zfp53	43	184	42	281	275	232
Zfp947	0	0	0	1	0	6
Gm16386	0	7	3	19	19	28
Zfp13	0	2	0	0	0	0
Traf7	760	788	600	2106	2290	2059
Ccnf	644	532	444	1616	1595	1439
Mapk8ip3	162	198	68	849	401	522
Abca3	1104	923	701	1921	2663	3137
Slc9a3r2	1	2	1	0	3	5
Ift140	253	321	230	903	1120	1177
Cacna1h	166	190	118	313	139	174
Fbxl16	0	0	0	2	0	2
Decr2	35	46	32	111	177	155
Crebrf	105	524	150	646	743	841
Ergic1	314	258	211	961	743	1118
Uqcc2	377	710	557	790	1521	795
Pacsin1	320	283	265	792	1192	1726
Anks1	124	109	91	353	242	390
D17Wsu92e	534	426	334	1343	1485	1648
Zfp523	56	49	39	145	122	151
Kctd20	458	533	335	1379	1570	1314
Mapk14	506	515	359	1525	1527	1917
Cdkn1a	31	17	16	40	56	54
Fkbp5	383	340	213	882	1122	1100
Cpne5	537	467	404	728	1419	1392
Brpf3	206	184	123	738	561	679
Rnf8	22	23	10	57	81	88
Gm28043	1	1	0	5	1	3
Mdga1	0	1	1	4	4	2
Pim1	822	628	397	2484	2355	2410
Zfand3	316	294	232	744	861	852
Dnah8	10	26	26	202	244	244
Abcg1	26	65	64	148	55	386
Slc37a1	68	54	47	178	251	238
Sik1	43	38	20	231	118	128
Hsf2bp	0	1	1	2	4	7
Brd4	633	540	338	1981	1293	1925
Wiz	242	168	139	742	479	709
Pknox1	313	261	208	830	937	907
Zfp871	187	435	146	1255	869	1363
Zfp955b	7	35	7	90	74	48
Zfp763	2	30	7	71	64	54
H2-Eb2	625	1306	543	2133	3291	3344
Kank3	9	8	4	50	28	23
Btnl4	0	2	8	9	2	28
Tap2	968	914	755	3101	2955	2790
Wdr46	278	176	120	721	859	651
C4b	0	15	11	39	8	53
C2	9	36	53	24	21	189
Cchcr1	153	117	87	355	285	327
D17H6S53E	69	58	40	175	238	154
Mrps18b	157	197	135	436	515	417
Znrd1as	26	40	26	67	94	68
Crisp3	11	87	15	57	327	290
Cd2ap	333	965	383	2119	2433	2427
Adgrf2	0	0	2	0	0	0
Slc25a27	0	0	1	0	0	0
Runx2	1	1	0	2	0	4
Cul9	4	15	6	75	29	65
Zfp318	24	31	17	357	128	119
Tjap1	144	113	114	377	356	333
Cul7	35	22	31	110	37	59
AI661453	1	0	0	0	2	1
Ccnd3	2136	1868	1679	3286	5090	3866
Rftn1	1367	1477	971	3239	4692	4186
Daam2	0	0	0	5	1	5
Plcl2	284	386	221	877	1031	1121
Tbc1d5	165	170	107	660	804	987
Satb1	64	74	29	226	314	374
Gm20098	1	0	0	0	0	0
Kat2b	116	130	62	427	355	497
Kdm4b	158	172	175	419	383	402
Adgre4	14	259	113	55	52	1332
Hdgfrp2	471	381	335	1134	1138	946
Ccdc94	67	95	75	246	349	213
Pot1b	29	110	49	227	228	312
Adgre1	50	448	423	167	146	2290
Nrtn	0	0	0	0	1	0
1700061G19Rik	1	2	0	9	0	2
Cd70	3	2	2	42	20	16
Efna5	3	0	0	0	0	0
Fbxl17	101	126	73	354	329	414
4930405O22Rik	1	2	2	0	0	4
Man2a1	604	886	403	2501	1959	3860
Ppp4r1	348	320	183	875	1044	1003
Twsg1	266	438	222	1022	1640	1664
Rab31	37	75	59	103	441	529
Arhgap28	1	1	0	2	0	6
Myom1	42	50	37	65	145	133
Fam179a	7	8	7	11	10	15
Clip4	0	0	0	0	1	0
Smchd1	589	1433	649	4072	3081	3206
Spdya	2	19	3	11	20	21
Trmt61b	48	47	29	97	185	106
Lclat1	50	75	24	313	234	282
Galnt14	7	10	5	34	29	40
Dpy30	285	495	288	961	1203	749
Xdh	2	7	13	25	6	70
Ttc27	118	187	80	417	538	484
Ltbp1	0	6	1	14	9	11
Birc6	683	1059	531	4390	2895	4561
Fez2	48	46	28	146	193	194
Crim1	3	3	6	5	11	41
Heatr5b	158	129	96	524	388	591
Sult6b1	1	3	3	18	9	14
Map4k3	8	14	9	25	13	48
Ttc39d	0	0	0	0	1	4
Sos1	72	112	48	453	288	419
Arhgef33	1	0	0	0	0	3
Slc8a1	4	52	29	20	9	265
Mta3	489	594	436	1282	1899	1651
Eml4	687	1172	583	3562	3401	3282
Kcng3	0	0	0	0	0	3
Abcg5	0	0	0	0	1	0
Thada	164	202	104	680	573	710
Plekhh2	0	0	0	5	2	0
Prepl	70	133	67	311	330	327
Camkmt	11	14	3	109	61	94
Epas1	1	2	0	18	6	18
Prkce	38	45	27	236	150	214
Srbd1	142	227	109	563	566	585
Msh2	566	879	400	1557	2082	1783
Ttc7	959	1079	1049	2498	2667	2798
Foxn2	125	220	92	600	510	629
2700099C18Rik	21	72	50	212	116	122
Gm1976	5	17	4	50	17	30
Pisd-ps2	38	49	35	302	251	286
Cldn20	0	0	0	3	0	1
1700102H20Rik	2	2	1	5	12	4
Tmem242	294	467	318	867	1336	822
Ldhal6b	0	0	0	12	2	4
3300005D01Rik	36	69	24	148	236	153
Serac1	15	21	11	84	75	70
Gtf2h5	307	508	295	998	1369	956
Dynlt1a	64	89	36	140	204	131
Dynlt1b	1	6	0	19	5	10
Tmem181b-ps	7	12	6	105	27	56
Dynlt1f	7	34	8	20	45	31
Tmem181c-ps	5	5	1	15	14	5
Ezr	2167	2065	1526	6602	8615	7197
Rnaset2b	11	13	17	36	34	35
Tagap1	68	101	45	329	228	236
Ttll2	0	0	0	0	1	0
Fndc1	0	0	0	0	0	1
Rsph3a	20	31	20	50	86	76
Tagap	43	50	22	213	144	154
Fgfr1op	236	613	229	1106	1178	1097
Ccr6	14	19	4	619	143	114
Prr18	1	5	0	7	4	1
Mpc1	24	53	32	83	98	75
Sft2d1	98	167	94	221	317	301
4930506C21Rik	0	0	0	11	0	0
1700010I14Rik	49	80	39	119	183	135
1700110C19Rik	0	0	0	2	0	2
Cahm	0	0	0	5	0	2
Map3k4	204	143	117	638	455	643
Snora20	1	1	0	0	2	1
Tcp1	1665	3573	1509	7743	9193	7043
Mrpl18	538	904	415	1927	2383	1469
Acat2	198	254	158	598	779	582
Pnldc1	3	3	1	6	6	7
Acat3	0	4	0	1	2	2
Sod2	191	230	128	559	695	552
Unc93a	0	0	1	2	0	3
Dact2	1	0	0	0	0	1
1600012H06Rik	50	128	52	287	260	344
Ermard	54	59	34	210	185	200
LOC106740	4	10	6	40	28	29
Phf10	244	324	172	741	771	715
Gm3435	7	4	0	4	14	9
9030025P20Rik	4	6	5	14	23	30
Dll1	16	6	5	44	17	22
Fam120b	151	211	109	590	438	468
Prdm9	2	11	4	69	44	22
Psmb1	1610	3498	1621	4344	7055	4589
Pdcd2	159	164	119	413	561	397
Tbp	162	343	168	580	683	615
Rgmb	9	5	7	50	56	57
Zfp97	3	44	3	18	25	15
Zfp960	0	1	0	0	0	2
Riok2	81	238	84	495	557	427
Fpr1	0	58	40	3	9	227
Fpr2	1	20	8	2	1	43
Spaca6	0	0	0	0	0	2
Vmn2r96	1	16	1	17	28	26
Vmn2r97	0	0	0	0	0	4
Ppp2r1a	1936	1766	1531	4382	5674	5576
Zfp160	27	148	46	291	217	206
Zfp54	10	61	21	82	108	106
Zfp677	7	50	17	87	94	51
Zfp51	8	185	60	225	263	173
9330136K24Rik	2	2	5	1	7	9
Zfp52	31	245	59	382	405	379
Zfp948	5	44	11	65	60	50
Zfp983	31	69	25	169	153	141
Zfp229	12	23	7	34	51	69
Zfp760	12	58	6	124	78	115
Gm10509	11	39	4	77	58	72
Zfp820	0	1	1	0	0	3
Zfp943	21	196	38	147	151	171
Zfp942	17	137	18	187	140	154
Zfp994	6	80	15	116	68	121
Zfp944	48	236	41	224	331	355
Zfp758	11	116	15	78	162	188
Zfp946	4	36	6	59	91	81
Zfp945	11	50	16	97	170	158
Zfp40	5	51	9	59	111	85
Zfp213	41	44	40	129	133	152
6330415G19Rik	4	5	3	2	13	7
Zscan10	0	0	0	0	2	1
Tnfrsf12a	12	5	2	6	8	6
Thoc6	352	418	308	827	1255	803
Cldn9	0	0	0	0	2	0
Mmp25	1	1	2	0	0	12
Cldn6	0	0	0	1	0	1
Bicdl2	1	1	0	0	0	2
Hcfc1r1	71	75	69	226	206	213
Srrm2	1678	1853	1050	8370	3652	6587
Elob	707	903	678	1611	2440	1479
Flywch2	0	2	0	4	13	3
Paqr4	23	23	23	66	47	74
Pkmyt1	215	144	111	645	423	395
Kremen2	1	1	0	3	5	2
Prss41	0	0	0	0	1	3
9530082P21Rik	60	78	65	245	258	280
Flywch1	125	126	126	394	426	446
Prss30	0	2	2	0	1	7
Kctd5	241	184	136	683	787	628
Tbc1d24	9	11	13	43	10	40
Ntn3	0	0	0	1	0	0
Mir5134	0	0	1	0	0	0
Amdhd2	77	97	84	132	214	183
1600002H07Rik	104	79	86	230	253	239
Abca17	2	2	0	0	3	3
E4f1	104	114	75	261	299	286
Rnps1	413	373	274	1227	1251	1055
Eci1	126	160	127	345	517	324
Mlst8	113	129	117	301	346	320
Caskin1	4	7	0	3	3	10
Pgp	344	314	229	597	850	550
Dnase1l2	10	10	3	31	20	16
D330041H03Rik	4	11	5	37	18	12
Nthl1	17	11	15	26	36	23
Rab26os	14	36	12	74	60	50
Tsc2	284	272	216	927	699	928
Rab26	2	7	4	11	17	12
Pkd1	110	83	87	521	212	372
Zfp598	292	260	185	717	653	693
Tbl3	388	351	349	792	1016	1023
Rpl3l	0	0	1	0	0	0
Snora78	2	0	0	2	2	2
Ndufb10	465	707	574	1167	1624	1169
Rps2	6875	8295	8044	18503	26349	18860
Noxo1	4	4	3	21	10	9
Rnf151	0	0	0	0	4	1
Gfer	178	227	173	334	539	338
Msrb1	196	269	225	625	890	655
Snora64	4	5	0	7	9	9
Syngr3	1	1	0	5	3	1
Npw	0	0	2	3	1	3
Hs3st6	3	0	4	0	7	5
Snhg9	0	1	4	10	5	1
Hagh	59	76	60	179	178	132
Spsb3	276	347	337	557	983	739
Eme2	61	62	53	161	147	150
Fahd1	8	12	4	20	18	20
Nubp2	532	734	524	1277	1998	1363
Igfals	0	0	0	0	0	2
Mrps34	230	227	201	621	686	534
Nme3	153	252	166	333	431	251
Meiob	0	1	0	0	1	1
Hn1l	406	671	378	1314	1459	1548
Cramp1l	173	198	96	725	428	542
Telo2	122	107	100	275	296	317
Tmem204	2	4	4	16	23	19
Clcn7	143	124	130	553	427	482
Ube2i	455	581	348	1276	1575	1235
Gm17801	1	0	0	0	1	1
Tsr3	79	67	38	222	250	171
Unkl	16	10	7	130	43	37
BC003965	103	103	76	347	417	293
Gnptg	71	119	81	276	265	240
Baiap3	1	0	0	4	0	2
Prss29	1	2	0	0	0	4
Tekt4	0	0	1	1	1	2
2810468N07Rik	0	3	0	13	0	2
Lmf1	49	60	43	123	110	138
Mslnl	1	0	0	5	1	1
Ccdc78	2	4	2	14	3	7
Fam173a	196	216	165	496	626	483
Haghl	33	39	31	164	142	140
Chtf18	249	180	169	485	514	481
Msln	69	0	1	11	18	12
Narfl	198	216	188	366	600	499
Rpusd1	102	81	94	232	230	214
Metrn	151	179	145	302	314	179
Gng13	0	2	1	2	0	0
Wdr90	170	208	138	535	358	397
Gm10012	0	1	0	0	0	1
Pigq	306	308	194	983	798	994
Wfikkn1	4	2	0	8	4	5
Fam195a	7	17	12	18	18	11
Mettl26	151	198	140	457	553	444
Wdr24	174	184	157	449	478	452
Jmjd8	39	30	41	117	108	95
Stub1	94	83	70	240	307	254
Rhbdl1	17	22	6	50	21	37
Rhot2	330	292	183	897	830	888
Rab40c	84	69	67	180	250	210
Rab11fip3	35	20	20	100	42	74
Capn15	187	148	71	473	351	454
Axin1	533	463	397	1276	1582	1443
Mrpl28	481	447	508	949	1357	781
Arhgdig	2	4	5	4	1	0
Nme4	17	30	19	33	51	68
Tmem8	69	66	51	239	285	328
Pdia2	0	0	0	2	0	0
Rgs11	0	2	1	4	0	2
Luc7l	384	504	299	1120	1385	1232
Neurl1b	21	21	9	84	52	72
Dusp1	69	39	25	154	229	164
Atp6v0e	484	1069	461	1308	1916	1567
Bnip1	252	387	329	613	1027	710
Cuta	430	452	450	1053	1123	942
Kifc5b	93	73	49	277	181	196
Syngap1	3	2	4	25	7	7
Phf1	90	87	57	352	228	251
Mir6968	0	0	0	0	2	0
Zbtb9	140	187	137	456	579	548
Ggnbp1	13	16	9	41	54	25
Itpr3	1699	1681	1294	4369	4011	4650
Bak1	810	892	929	1883	2792	2168
9630028I04Rik	1	1	0	6	4	9
Lemd2	181	212	179	322	409	402
Hmga1	8	5	9	18	16	17
Rps10	2851	5214	3760	6757	12435	7039
Nudt3	338	297	212	771	874	860
AI413582	119	188	115	339	525	330
Uhrf1bp1	34	34	17	192	35	87
Taf11	157	187	99	584	699	513
Snrpc	279	395	369	718	940	699
Tcp11	2	1	0	3	4	8
Def6	406	311	229	1109	1497	1306
Ppard	54	44	25	143	76	122
Tead3	1	0	0	0	0	0
Fance	81	69	72	207	246	204
Rpl10a	2168	3781	2609	6286	9571	5612
Clps	0	1	1	1	1	1
Srpk1	460	541	345	1469	1401	1230
Slc26a8	0	1	0	1	6	3
Mapk13	0	0	0	0	1	0
4930539E08Rik	18	21	10	60	69	57
Pxt1	1	3	1	4	8	6
1700030A11Rik	2	1	0	0	3	1
Pnpla1	4	2	0	2	6	6
Srsf3	1069	2039	788	3966	4368	4051
Trp53cor1	0	0	0	0	8	7
Stk38	417	698	314	1831	1970	1877
Rab44	5	9	4	11	16	17
Pi16	0	0	0	4	0	0
BC004004	536	648	443	1529	2370	1877
Mtch1	1133	1288	1186	2309	3617	2445
Ppil1	998	1019	669	2372	3420	2490
Fgd2	195	203	169	1097	920	868
Tmem217	0	0	1	0	4	9
Tbc1d22bos	0	0	1	5	0	0
Tbc1d22b	169	129	115	465	523	543
Cmtr1	23	11	14	49	46	39
Ccdc167	33	44	24	194	146	148
Gm6402	3	6	9	10	22	7
1700097N02Rik	1	3	4	22	39	28
Glo1	60	91	52	309	373	293
Umodl1	0	0	0	0	0	2
Ubash3a	0	0	0	0	5	5
Rsph1	33	58	33	99	246	154
Ndufv3	287	509	358	913	1225	795
Wdr4	181	173	165	503	494	399
Cbs	3	1	2	10	1	1
U2af1	714	903	491	2022	2464	1878
Pdxk-ps	0	1	0	0	0	5
Rrp1b	169	138	88	680	438	572
Notch3	3	0	1	0	1	4
Gm4432	0	3	1	2	0	5
Ephx3	0	2	0	0	2	2
Akap8	424	524	196	2171	1652	1529
Akap8l	177	186	106	710	561	495
A530088E08Rik	0	0	0	6	0	2
Pglyrp2	3	10	2	62	37	22
Rasal3	494	534	403	1604	1393	1466
Cyp4f39	4	1	0	10	21	10
Cyp4f16	6	14	8	21	40	86
Cyp4f17	10	2	8	55	43	63
Zfp811	0	1	0	1	0	0
Zfp799	17	21	8	76	72	61
Zfp870	45	87	52	283	207	222
Zfp952	33	93	34	225	236	154
Cyp4f14	0	0	0	1	0	0
Cyp4f13	9	15	10	73	30	50
Zfp472	37	181	71	276	311	206
Cyp4f41-ps	6	3	3	1	8	12
Zfp563	13	20	13	88	53	73
Zfp955a	17	78	24	110	144	103
Zfp101	19	85	31	205	136	105
Zfp81	14	54	19	73	71	50
Adamts10	49	67	35	331	102	131
Zfp414	111	99	89	383	357	280
Hnrnpm	1704	1338	772	7217	5885	5534
Pram1	5	10	6	28	10	24
Myo1f	34	47	48	685	250	464
Rab11b	321	368	265	1008	1036	1260
Angptl4	65	51	52	116	210	226
March2	244	234	196	570	846	697
Cd320	24	18	31	55	66	44
Daxx	399	397	331	1102	1117	1068
Platr17	4	13	6	5	29	25
Ndufa7	417	688	546	1186	1720	978
Zbtb22	148	137	113	441	450	460
Rgl2	260	249	183	795	605	688
Kifc1	427	355	343	1048	1199	1020
Tapbp	614	601	555	2355	1411	1806
Pfdn6	326	345	249	817	1105	720
Rps28	1085	2010	1280	3165	5284	2557
BC051226	13	15	7	26	47	20
H2-K2	50	43	35	221	169	131
H2-Ke6	161	188	150	475	504	351
Mir219a-1	0	0	1	0	0	0
Rxrb	454	516	518	1131	1379	1157
Slc39a7	402	389	382	1266	1216	1394
Col11a2	27	36	17	93	56	107
AA388235	10	19	7	112	61	73
Ring1	124	179	131	286	407	347
Rps18	3758	6233	3673	10259	16775	9992
B3galt4	46	68	46	95	195	153
Vps52	624	611	562	1590	1710	1618
H2-K1	3551	4136	3637	19411	12351	13166
Tap1	1271	1437	1306	5865	4180	4131
H2-Oa	432	603	510	1482	1696	1604
Brd2	2182	1981	1428	5782	6246	6014
H2-DMb2	1395	1671	1523	4382	4254	3761
H2-DMa	1808	2623	2385	4223	6034	5145
Psmb8	3187	3315	2550	8220	10470	7130
H2-DMb1	344	439	279	1503	1115	1119
Psmb9	1236	1558	1368	5094	4901	3296
BC051537	14	25	17	50	56	35
H2-Aa	11572	20658	12560	38655	50525	42310
H2-Eb1	12363	18117	15827	33529	47557	36520
H2-Ob	2123	3461	2111	7737	8070	6761
H2-Ab1	14856	21025	18215	36421	48945	38168
H2-Ea-ps	0	0	0	2	14	3
Btnl1	38	30	28	108	170	162
Btnl2	136	188	120	712	572	494
BC051142	7	23	15	55	37	54
Ager	14	14	11	58	45	34
Gpsm3	677	612	576	1349	1939	1661
Btnl6	0	3	5	6	3	63
Notch4	1	6	2	10	7	9
Pbx2	345	309	250	754	676	744
Btnl5-ps	0	2	0	9	0	4
Egfl8	0	1	2	5	2	6
Ppt2	23	86	122	74	46	398
Tnxb	0	0	0	0	1	0
Fkbpl	17	10	19	27	49	49
Atf6b	564	470	441	1481	1413	1488
Agpat1	352	281	228	806	820	862
Stk19	146	153	142	408	500	345
Skiv2l	527	527	404	1685	1498	1689
Dxo	157	170	150	499	429	399
C4a	3	1	2	17	9	8
Nelfe	568	681	586	1161	1770	1285
Mir6972	0	0	0	0	1	2
Cfb	16	35	15	127	79	194
Cyp21a1	0	0	0	0	1	1
Hspa1l	4	10	3	41	30	18
Neu1	265	301	233	517	790	669
Lsm2	407	433	383	1024	1026	990
Hspa1b	93	27	10	380	263	136
Ehmt2	1422	1295	1281	3086	3860	3708
Hspa1a	48	17	8	169	130	78
Slc44a4	0	0	1	0	1	1
Snord52	1	1	1	20	1	4
Zbtb12	60	46	34	130	130	146
1110038B12Rik	209	276	162	718	890	545
Msh5	54	67	40	147	147	153
Ly6g5b	6	3	2	25	19	7
Gpank1	175	168	143	424	566	343
Csnk2b	901	1051	822	2471	2842	2349
Sapcd1	7	8	6	24	24	29
Ddah2	199	185	162	316	386	260
Vwa7	9	9	4	24	20	15
Ly6g6f	0	2	0	0	1	1
Abhd16a	182	202	216	429	499	547
Vars	3693	3411	3212	8203	8478	7531
G6b	0	0	0	3	2	1
Clic1	4944	8250	6312	9805	19504	12303
D17H6S56E-5	788	1075	651	2097	2602	2209
Apom	1	4	0	1	8	4
Lta	242	288	181	715	1029	827
Nfkbil1	108	110	93	233	423	293
Mir8094	1	0	0	0	2	4
Bag6	977	753	807	2653	2225	2431
Ddx39b	1672	1735	1593	4836	4731	4518
Lst1	113	297	216	219	646	657
Prrc2a	3095	2283	1938	9143	6186	8851
Tnf	83	87	52	245	300	293
Aif1	30	121	94	69	145	395
Ltb	1851	2101	1778	3607	6161	3715
Mir6973a	2	4	3	1	12	2
Atp6v1g2	12	21	11	37	57	56
H2-Q2	0	0	0	3	3	5
H2-Q4	468	431	303	3128	1676	1644
H2-L	0	0	1	10	2	0
H2-D1	1233	1514	1280	6036	4751	5344
Tcf19	745	666	566	2125	2413	1989
Pou5f1	0	0	0	2	0	1
H2-Q10	0	0	0	2	3	1
H2-Q5	27	27	25	388	118	79
Psors1c2	2	0	0	11	0	2
Cdsn	0	0	0	1	0	0
Dpcr1	0	1	0	1	3	2
Ddr1	5	0	0	0	4	1
Gtf2h4	150	136	131	411	520	371
Vars2	148	104	131	403	389	435
Ppp1r18	801	802	722	2098	2658	2368
Atat1	23	36	30	110	63	77
Flot1	90	114	94	254	206	230
Tubb5	11537	11672	9921	28672	33483	28753
2310061I04Rik	84	67	63	247	224	219
Dhx16	592	501	312	1785	1606	1493
Ier3	5	0	2	6	6	13
Nrm	355	340	271	995	1108	1155
Mdc1	626	490	363	1830	1332	1799
Prr3	93	81	62	251	222	242
Mir1894	1	3	2	2	1	4
